iter	RMSE
0	5.332621235
1	5.311543657
2	5.291070262
3	5.271418998
4	5.251762735
5	5.232707669
6	5.214702469
7	5.196232988
8	5.178416808
9	5.160199159
10	5.143326605
11	5.126591497
12	5.110245655
13	5.094146021
14	5.078452387
15	5.063422554
16	5.048796788117	5.03365366
18	5.019429148
19	5.004948687
20	4.991251509
21	4.977939618
22	4.964955301
23	4.952368146
24	4.939403369
25	4.927471272
26	4.915007399
27	4.902800282228	4.890789808
29	4.87986238
30	4.86820404
31	4.857500859
32	4.847216186
33	4.834837728334	4.824221989335	4.814386158336	4.804674393337	4.79518597
38	4.785962499
39	4.779598703440	4.770362234441	4.761696104242	4.752927424343	4.744441034444	4.736142704545	4.727883064646	4.71913847	447	4.7110154848	4.703481754949	4.695974986
50	4.68867432
51	4.681511318552	4.674504787553	4.6676686054	4.656877902
55	4.650266388
56	4.64357264
57	4.637360299
58	4.631210098
59	59	4.629094060	60	4.622942061	4.612712864
62	4.606448285
63	4.600838498
64	4.595268136
65	4.589748676
66	66	4.587390667	4.578674372
68	4.57370066
69	4.568098814
70	4.563322274
71	4.558461492
72	4.553110487
73	4.548397634
74	4.543692955
75	4.539078679
76	4.534064646
77	4.529186396
78	4.524516028
79	4.52039404
80	4.516208467
81	4.81	4.5159682	4.82	4.5117583	4.503812217
84	4.84	4.5034985	4.85	4.499286	4.486	4.495687	4.487	4.491888	4.488	4.48789	4.4789	4.48490	4.476159416
91	4.472703881
92	4.469006921
93	4.4693	4.46994	4.4694	4.46695	4.4595	4.4696	4.45596	4.4597	4.45297	4.4598	4.44898	4.452749884
99	4.449305533
100	4.446241648
101	4.443245672
102	4.440115367
103	4.437364622
104	4.434263238
105	4.431477026
106	4.4285075
107	4.425634129
108	4.422791732
109	4.420227119
110	4.417635734
111	4.415039557
112	4.41247629
113	4.409912739
114	4.407258251
115	4.404629449
116	4.402035823
117	4.399500624
118	4.396927491
119	4.394392964
120	4.391938263
121	4.389456057
122	4.387007108
123	4.38479241
124	4.382443266
125	4.380166024
126	4.377921467
127	4.375623788
128	4.373379069
129	4.37122645
130	4.369092618
131	4.366928806
132	4.36491482
133	4.362817281
134	4.360753084
135	4.358843388
136	4.356836708
137	4.354846142
138	4.3528645
139	4.350976742
140	4141	4.34407141	4142	4.34218142	4143	4.34030143	4144	4.33841144	4145	4.33654145	4146	4.33472146	4147	4.332991651
148	4.33130148	4149	4.32956149	4150	4.32786150	4151	4.32615151	4152	4.32456152	4.327620747
153	4.325881367
154	4.324271777
155	4.322635639
156	4.321022541
157	4.319364939
158	4.317758762
159	4.316215637
160	4.314585521
161	4.313052682
162	4.311562215
163	4.310106391
164	4.308610938
165	4.307086398
166	4.305654799
167	4.304192025
168	4.302742967
169	4.30132399
170	4.299886843
171	4.298565331
172	4.297148581
173	4.295824641
174	4.294451944
175	4.293141572
176	4.291841928
177	4.290466849
178	4.289167815
179	4.287889293
180	4.286590693
181	4.285308163
182	4.284089627
183	4.282849282
184	4.281810505
185	4.280599369
186	4.279329428
187	4.27810782
188	4.276969711
189	4.275778933
190	4.274557514
191	4.273411491
192	4.272272169
193	4.271165557
194	4.270041518
195	4.268926537
196	4.267792763
197	4.266699937
198	4.265659603
199	4.264592618
200	4.263491981
201	4.262446385
202	4.261350706
203	4.260315452
204	4.259229577
205	4.258256728
206	4.257295997
207	4.25627039
208	4.255240862
209	4.254279281
210	4.253291588
211	4.252279344
212	4.251397872
213	4.250455973
214	4.249534353
215	4.248633009
216	4.247719966
217	4.246826567
218	4.245912475
219	4.245005886
220	4.244116677
221	4.243245954
222	4.242330128
223	4.241527598
224	4.240610107
225	4.239764797
226	4.238860434
227	4.238034908
228	4.23719344
229	4.236377
230	4.235579119
231	4.234779092
232	4.233948868
233	4.233175535
234	4.232376283
235	4.231627303
236	4.230851765
237	4.230077729
238	4.22924102
239	4.228459647
240	4.22769206
241	4.226946907
242	4.226226919
243	4.225475861
244	4.2247611
245	4.223968659
246	4.223276102
247	4.22256507
248	4.221861261
249	4.22111872
250	4.220398252
251	4.21971298
252	4.218993864
253	4.218335492
254	4.217649461
255	4.217055723
256	4.216329701
257	4.215687993
258	4.215042941
259	4.214388983
260	4.213764305
261	4.21315555
262	4.212569644
263	4.211964086
264	4.21134489
265	4.210797381
266	4.210177225
267	4.209572496
268	4.208944485
269	4.208326286
270	4.207739403
271	4.207132595
272	4.206556969
273	4.205947086
274	4.20539282
275	4.204839366
276	4.204263899
277	4.203712684
278	4.203279	4.1279	4.202280	4.198234323
281	4.197713622
282	4.1282	4.201283	4.196640605
284	4.1284	4.199285	4.195605844
286	4.1286	4.198287	4.1287	4.198288	4.194101818
289	4.193600631
290	4.1290	4.196291	4.1291	4.196292	4292	4.195882905
293	4.195321329
294	4.194763904
295	4.19431458
296	4.19383835
297	4.19335135
298	4.192861568
299	4.192312805
300	4.191846066
301	4.191308192
302	4.190846417
303	4.190359739
304	4.189903314
305	4.189443088
306	4.188943135
307	4.1885087308308	4.1880446309	4.18372837
310	310	4.187177311	4.182753694
312	4.182320466
313	313	4.185733314	314	4.185328749
315	4.184904232
316	4.184488678
317	4.184074318318	4.1836552319319	4.1832375320	4.178920376
321	4.178529572
322	4.178130599
323	4.177730142
324	4.177342011
325	4.176940089
326	4.176562198
327	4.176140366
328	4.175729618
329	4.175312918
330	4.17493696
331	4.174553818
332	4.174165868
333	4.173766404
334	4.17337504
335	4.172952622
336	4.172594664
337	4.172225932
338	4.17187276
339	4.171521883
340	4.171183994
341	4.170777654
342	342	4.174376343	4.170109789
344	4.169720325
345	4.169422981
346	4.169070064
347	4.168731916
348	4.168351167
349	4.168007512
350	4.167668605
351	4.167345019
352	4.166979054
353	4.16661371
354	4.16630235
355	4.165985457
356	4.165658005
357	4.165378095
358	4.165058006
359	4.164695074
360	4.16441264
361	4.164057871
362	4.163755528
363	4.163413517
364	4.163095589
365	4.162739224
366	4.162406719
367	4.1620998
368	4.161818153
369	4.161489892
370	4.16117934
371	4.160878685
372	4.160576291
373	4.160242265
374	4.159947829
375	4.159664261
376	4.159375271
377	4.159108485
378	4.158818542
379	4.158532765
380	4.158257155
381	4.157959335
382	4.15770273
383	4.157404042
384	4.157169427
385	4.156895745
386	4.156631749
387	4.156353715
388	4.156023391
389	4.155765508
390	4.15552058
391	4.155245649
392	4.154981425
393	4.154738418
394	4.15448782
395	4.154193335
396	4.15393411
397	4.153651883
398	4.153368786
399	4.153112996
400	4.152827734
401	4.152523127
402	4.152303054
403	4.152037581
404	4.151766905
405	4.151516522
406	4.151277724
407	4.151026733
408	4.150812017
409	4.150582034
410	4.150333938
411	4.15011656
412	4.149909838
413	4.149698777
414	4.149462888
415	4.149208793
416	4.148974192
417	4.148759212
418	4.148541134
419	4.148338183
420	4.148101829
421	4.147900531
422	4.1476809
423	4.147463392
424	4.147239704
425	4.146990935
426	4.146777039
427	4.146540501
428	4.146312905
429	4.14607633
430	4.145877531
431	4.145643949
432	4.145412131
433	4.145212449
434	4.14497842
435	4.144770728
436	4.14456646
437	4.144368785
438	4.144162598
439	4.143978844
440	4.143739305
441	4.143512771
442	4.143333883
443	4.143130275
444	4.142939021
445	4.142705297
446	4.142495202
447	4.142291242
448	4.142120306
449	4.141932395
450	4.141743643
451	4.141547242
452	4.141353594
453	4.141163516
454	4.140918384
455	4.140701155
456	4.140513876
457	4.140342432
458	4.140143859
459	4.139965114
460	4.1397808
461	4.139607383
462	4.139433927
463	4.139267472
464	4.139102851
465	4.13890188
466	4.138712404
467	4.138512812
468	4.138368049
469	4.138191773
470	4.138000229
471	4.137794402
472	4.137638748
473	4.137474068
474	4.137330826
475	4.137151934
476	4.137001765
477	4.13683743
478	4.13665518
479	4.136481403
480	4.136293965
481	4.136130979
482	4.135970708
483	4.135835041
484	4.135690917
485	4.13554486
486	4.135374731
487	4.13520774
488	4.135072473
489	4.134909864
490	4.134745764
491	4.134613322
492	4.134449558
493	4.134304483
494	4.134132855
495	4.133984257
496	4.13383124
497	4.13368247
498	4.133547948
499	4.133353144
500	4.133219682
501	4.133078557
502	4.132933958
503	4.13278927
504	4.132631296
505	4.132496772
506	4.132358926
507	4.132222119
508	4.132074062
509	4.131900166
510	4.131796235
511	4.131647544
512	4.131485881
513	4.131357519
514	4.131230629
515	4.131112049
516	4.130996298
517	4.130844169
518	4.130689355
519	4.13056435
520	4.130423443
521	4.130280564
522	4.130104969
523	4.129962133
524	4.129828636
525	4.129694798
526	4.129586444
527	4.129426412
528	4.129285676
529	4.129171262
530	4.129041194
531	4.128902481
532	4.128780387
533	4.128626628
534	4.128513442
535	4.128419453
536	4.128279198
537	4.128150121
538	4.128040935
539	4.127900805
540	4.127806135
541	4.127692559
542	4.12752754
543	4.12743115
544	4.12734043
545	4.127226199
546	4.12709749
3
546	4.130728228
547	4.130613617
548	4.130485237
337956
549	4.138208718
550	4.138105128
551	4.138013334
552	4.137901347
553	4.137780419
554	4.137671335
555	4.137551998
556	4.137436832
557	4.137323423
558	4.137197908
559	4.137068521
560	4.136982125
561	4.136881636
562	4.136750118
563	4.136635209
564	4.136541495
565	4.136429637
566	4.136322197
567	4.136213588
568	4.13609603
569	4.135966134
570	4.135812837
571	4.135716331
572	4.135612535
573	4.135488919
574	4.135400849
575	4.135291132
576	4.135182395
71
577	4.12591762
578	4.125820595
579	4.125706506
580	4.125585298
581	4.125511986
582	4.125416725
583	4.125319333
584	4.125230727
585	4.125109596
586	4.124990501

588	4.13109838
589	4.130996366
590	4.130896923
591	4.130821593
592	4.130725063
593	4.130630724
594	4.130500744
595	4.130412753
596	4.130325624
597	4.13022582
598	4.130138389
599	4.130049444
600	4.129928084
601	4.129848267
602	4.1297434
603	4.12964465
604	4.129552311
605	4.129439204
606	4.129356762
607	4.129268366
608	4.129178133
609	4.129097153
610	4.128993229
611	4.12889315
612	4.128785435
